
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
C0:25:06:F8:54:CC, 2022-12-28 16:02:22, 2022-12-28 16:03:19,  1, 195, WPA2, CCMP, PSK, -81,      498,      857,   0.  0.  0.  0,   7, Sputnik, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
84:4B:F5:26:52:1D, 2022-12-28 16:02:23, 2022-12-28 16:02:40, -87,       20, C0:25:06:F8:54:CC,
00:6E:07:9B:54:5D, 2022-12-28 16:02:22, 2022-12-28 16:03:15, -86,      168, C0:25:06:F8:54:CC,Sputnik
00:6E:07:A0:BD:65, 2022-12-28 16:02:22, 2022-12-28 16:02:40, -82,       76, C0:25:06:F8:54:CC,Sputnik
00:6E:07:9F:1A:51, 2022-12-28 16:02:25, 2022-12-28 16:03:19, -81,      210, C0:25:06:F8:54:CC,Sputnik
00:6E:07:9B:BD:8F, 2022-12-28 16:02:22, 2022-12-28 16:02:40, -80,       76, C0:25:06:F8:54:CC,Sputnik
24:A1:60:39:F7:A7, 2022-12-28 16:02:40, 2022-12-28 16:02:40,  -1,        1, C0:25:06:F8:54:CC,
8C:AA:B5:EC:EC:1B, 2022-12-28 16:02:40, 2022-12-28 16:02:40,  -1,        1, C0:25:06:F8:54:CC,
48:3F:DA:70:A8:5E, 2022-12-28 16:02:40, 2022-12-28 16:02:40,  -1,        1, C0:25:06:F8:54:CC,
8C:CE:4E:DC:53:A3, 2022-12-28 16:02:40, 2022-12-28 16:02:40,  -1,        1, C0:25:06:F8:54:CC,

