
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
74:42:7F:59:ED:B1, 2025-04-29 17:54:19, 2025-04-29 17:55:19, 11, 720, WPA2, CCMP, PSK, -28,      570,     2577,   0.  0.  0.  0,   9, Warleberg, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
20:0B:CF:9A:2B:D1, 2025-04-29 17:55:08, 2025-04-29 17:55:13, -62,       13, 74:42:7F:59:ED:B1,
66:58:D3:24:52:66, 2025-04-29 17:54:38, 2025-04-29 17:55:09, -54,        9, 74:42:7F:59:ED:B1,
3C:E4:41:B5:03:ED, 2025-04-29 17:54:32, 2025-04-29 17:55:07, -46,       11, 74:42:7F:59:ED:B1,
3C:CD:57:2D:45:B9, 2025-04-29 17:54:20, 2025-04-29 17:55:19, -42,      869, 74:42:7F:59:ED:B1,
3C:CD:57:2D:48:58, 2025-04-29 17:54:19, 2025-04-29 17:55:19, -41,     1369, 74:42:7F:59:ED:B1,
00:16:78:68:9C:B8, 2025-04-29 17:54:47, 2025-04-29 17:55:15, -39,        2, 74:42:7F:59:ED:B1,
0A:C0:12:6F:17:C8, 2025-04-29 17:54:24, 2025-04-29 17:55:14, -31,      178, 74:42:7F:59:ED:B1,
0C:43:F9:5E:72:07, 2025-04-29 17:54:20, 2025-04-29 17:54:50, -25,        2, 74:42:7F:59:ED:B1,
C2:FF:00:12:1D:91, 2025-04-29 17:54:33, 2025-04-29 17:55:05, -25,        8, 74:42:7F:59:ED:B1,

