
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
74:42:7F:59:ED:B1, 2025-04-29 21:35:35, 2025-04-29 21:36:27,  6, 720, WPA2, CCMP, PSK, -42,       11,       49,   0.  0.  0.  0,   9, Warleberg, 
02:16:78:68:9C:B8, 2025-04-29 21:35:35, 2025-04-29 21:36:27,  6, 130, WPA2 WPA, CCMP TKIP, PSK, -38,       46,       56,   0.  0.  0.  0,   9, Warleberg, 
DC:15:C8:4A:5A:DB, 2025-04-29 21:35:35, 2025-04-29 21:36:27,  6, 720, WPA2, CCMP, PSK, -71,        9,       14,   0.  0.  0.  0,  17, FRITZ!Box 7590 IO, 
DC:39:6F:C3:58:4D, 2025-04-29 21:35:35, 2025-04-29 21:36:24,  1, 360, WPA2, CCMP, PSK, -19,       12,        3,   0.  0.  0.  0,  17, FRITZ!Box 7530 DP, 
A0:D8:07:60:BC:94, 2025-04-29 21:35:35, 2025-04-29 21:36:26,  3, 270, WPA2 WPA, CCMP TKIP, PSK, -43,       26,        0,   0.  0.  0.  0,  12, WLAN1-A1R7JB, 
74:42:7F:59:E9:2E, 2025-04-29 21:35:35, 2025-04-29 21:36:24,  1, 720, WPA2, CCMP, PSK, -68,        5,        0,   0.  0.  0.  0,  17, FRITZ!Box 7590 KC, 
C4:6E:33:07:A4:FA, 2025-04-29 21:35:36, 2025-04-29 21:36:08, 13, 130, WPA2, CCMP TKIP, PSK, -51,        4,        0,   0.  0.  0.  0,  10, Ortel_A4FA, 
24:94:94:13:E0:55, 2025-04-29 21:35:36, 2025-04-29 21:36:27, 10,  65, OPN, ,   , -24,       33,        0,   0.  0.  0.  0,  16, LEDnet00A313E055, 
3C:37:12:2E:34:30, 2025-04-29 21:35:37, 2025-04-29 21:36:27, 11, 360, WPA2, CCMP, PSK, -27,        9,       11,   0.  0.  0.  0,  17, FRITZ!Box 7530 QV, 
FA:8F:CA:B1:B1:79, 2025-04-29 21:35:38, 2025-04-29 21:36:27,  6, 270, OPN, ,   , -55,        6,        0,   0.  0.  0.  0,  19, Familienzimmer.n069, 
74:42:7F:59:ED:B0, 2025-04-29 21:35:39, 2025-04-29 21:36:32, 36, 1733, WPA2, CCMP, PSK, -76,       32,       35,   0.  0.  0.  0,  13, Warleberg5GHz, 
DC:15:C8:4A:5A:DA, 2025-04-29 21:35:39, 2025-04-29 21:36:28, 36, 1733, WPA2, CCMP, PSK, -74,        3,        2,   0.  0.  0.  0,  17, FRITZ!Box 7590 IO, 
A0:D8:07:60:BC:96, 2025-04-29 21:35:41, 2025-04-29 21:36:14, 52,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
3C:37:12:2E:34:31, 2025-04-29 21:35:43, 2025-04-29 21:36:32, 100, 780, WPA2, CCMP, PSK, -56,       21,        4,   0.  0.  0.  0,  17, FRITZ!Box 7530 QV, 
DC:39:6F:C3:58:4E, 2025-04-29 21:35:45, 2025-04-29 21:36:34, 116, 780, WPA2, CCMP, PSK, -51,       20,        0,   0.  0.  0.  0,  17, FRITZ!Box 7530 DP, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
8A:70:7A:FE:6F:3F, 2025-04-29 21:35:35, 2025-04-29 21:35:51, -29,        2, A0:D8:07:60:BC:94,
00:16:78:68:9C:B8, 2025-04-29 21:35:37, 2025-04-29 21:35:37,  -1,        1, 74:42:7F:59:ED:B1,
3C:CD:57:2D:45:B9, 2025-04-29 21:35:38, 2025-04-29 21:36:11, -50,       23, 02:16:78:68:9C:B8,
3C:CD:57:2D:48:58, 2025-04-29 21:35:38, 2025-04-29 21:36:27, -44,       29, 74:42:7F:59:ED:B1,
56:AE:34:24:60:05, 2025-04-29 21:35:39, 2025-04-29 21:36:30, -46,        5, 74:42:7F:59:ED:B0,
DE:A9:89:E2:37:4D, 2025-04-29 21:35:40, 2025-04-29 21:35:40, -46,        1, 74:42:7F:59:ED:B0,
3E:88:48:1B:D9:0C, 2025-04-29 21:35:41, 2025-04-29 21:36:14, -78,        8, A0:D8:07:60:BC:96,
E0:AA:96:4E:F3:60, 2025-04-29 21:35:43, 2025-04-29 21:36:05, -69,        3, 3C:37:12:2E:34:31,
3C:CD:57:2D:48:5A, 2025-04-29 21:35:54, 2025-04-29 21:36:27, -22,       18, 02:16:78:68:9C:B8,
9C:32:CE:E1:CF:9E, 2025-04-29 21:35:55, 2025-04-29 21:36:27, -53,        4, (not associated) ,BJNPSETUP
26:5B:EC:AE:B9:CB, 2025-04-29 21:36:01, 2025-04-29 21:36:01, -70,        1, DC:39:6F:C3:58:4E,
66:E1:B1:22:FB:4A, 2025-04-29 21:36:09, 2025-04-29 21:36:09, -21,        2, (not associated) ,
A2:6C:FE:AB:8A:C1, 2025-04-29 21:36:10, 2025-04-29 21:36:27, -53,       23, DC:15:C8:4A:5A:DB,MV84647913,FRITZ!Box 7530 YK,MOL-HotSpot
92:DC:B0:7F:4A:FF, 2025-04-29 21:36:11, 2025-04-29 21:36:11, -38,        1, 74:42:7F:59:ED:B0,
88:BF:E4:CA:FF:E0, 2025-04-29 21:36:25, 2025-04-29 21:36:25,  -1,        1, 02:16:78:68:9C:B8,
D8:9C:67:75:2C:73, 2025-04-29 21:36:29, 2025-04-29 21:36:29, -52,        1, (not associated) ,
52:D0:B6:A1:33:98, 2025-04-29 21:36:31, 2025-04-29 21:36:31, -74,        1, 3C:37:12:2E:34:31,

