
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
DC:39:6F:C3:58:4D, 2025-04-29 22:04:36, 2025-04-29 22:04:37,  1, 360, WPA2, CCMP, PSK, -42,        3,        3,   0.  0.  0.  0,  17, FRITZ!Box 7530 DP, 
A0:D8:07:60:BC:94, 2025-04-29 22:04:36, 2025-04-29 22:04:39,  3, 270, WPA2 WPA, CCMP TKIP, PSK, -44,        8,        0,   0.  0.  0.  0,  12, WLAN1-A1R7JB, 
74:42:7F:59:E9:2E, 2025-04-29 22:04:36, 2025-04-29 22:04:37,  1, 720, WPA2, CCMP, PSK, -69,        2,        0,   0.  0.  0.  0,  17, FRITZ!Box 7590 KC, 
02:16:78:68:9C:B8, 2025-04-29 22:04:37, 2025-04-29 22:04:40,  6, 130, WPA2 WPA, CCMP TKIP, PSK, -38,       13,        7,   0.  0.  0.  0,   9, Warleberg, 
9C:32:CE:E1:CF:9E, 2025-04-29 22:04:37, 2025-04-29 22:04:37, -1,  -1, , ,   , -72,        0,        0,   0.  0.  0.  0,   0, , 
C4:6E:33:07:A4:FA, 2025-04-29 22:04:37, 2025-04-29 22:04:37, 13, 130, WPA2, CCMP TKIP, PSK, -52,        1,        0,   0.  0.  0.  0,  10, Ortel_A4FA, 
24:94:94:13:E0:55, 2025-04-29 22:04:38, 2025-04-29 22:04:40, 10,  65, OPN, ,   , -26,        7,        0,   0.  0.  0.  0,  16, LEDnet00A313E055, 
74:42:7F:59:ED:B1, 2025-04-29 22:04:39, 2025-04-29 22:04:40,  6, 720, WPA2, CCMP, PSK, -36,        3,        6,   0.  0.  0.  0,   9, Warleberg, 
3C:37:12:2E:34:30, 2025-04-29 22:04:39, 2025-04-29 22:04:40, 11, 360, WPA2, CCMP, PSK, -49,        2,        0,   0.  0.  0.  0,  17, FRITZ!Box 7530 QV, 
DC:15:C8:4A:5A:DB, 2025-04-29 22:04:40, 2025-04-29 22:04:40,  6, 720, WPA2, CCMP, PSK, -70,        3,        0,   0.  0.  0.  0,  17, FRITZ!Box 7590 IO, 
FA:8F:CA:B1:B1:79, 2025-04-29 22:04:40, 2025-04-29 22:04:40,  6, 270, OPN, ,   , -51,        2,        0,   0.  0.  0.  0,  19, Familienzimmer.n069, 
74:42:7F:59:ED:B0, 2025-04-29 22:04:40, 2025-04-29 22:04:45, 36, 1733, WPA2, CCMP, PSK, -77,        8,        2,   0.  0.  0.  0,  13, Warleberg5GHz, 
DC:15:C8:4A:5A:DA, 2025-04-29 22:04:40, 2025-04-29 22:04:41, 36, 1733, WPA2, CCMP, PSK, -76,        3,        0,   0.  0.  0.  0,  17, FRITZ!Box 7590 IO, 
A0:D8:07:60:BC:96, 2025-04-29 22:04:42, 2025-04-29 22:04:42, 52,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
3C:37:12:2E:34:31, 2025-04-29 22:04:44, 2025-04-29 22:04:45, 100, 780, WPA2, CCMP, PSK, -56,        5,        0,   0.  0.  0.  0,  17, FRITZ!Box 7530 QV, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
D8:FB:D6:C5:F7:2E, 2025-04-29 22:04:37, 2025-04-29 22:04:40, -25,        3, 02:16:78:68:9C:B8,
A8:34:6A:AF:73:D4, 2025-04-29 22:04:39, 2025-04-29 22:04:39, -27,        1, A0:D8:07:60:BC:94,
3C:CD:57:2D:45:B9, 2025-04-29 22:04:40, 2025-04-29 22:04:40, -49,        1, 02:16:78:68:9C:B8,
3C:CD:57:2D:48:58, 2025-04-29 22:04:40, 2025-04-29 22:04:40, -46,        2, 74:42:7F:59:ED:B1,
3C:CD:57:2D:48:5A, 2025-04-29 22:04:40, 2025-04-29 22:04:40, -22,        3, 02:16:78:68:9C:B8,
86:0B:08:74:D9:97, 2025-04-29 22:04:40, 2025-04-29 22:04:40, -56,        1, 74:42:7F:59:ED:B0,

