
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
9C:32:CE:E1:CF:9E, 2025-04-29 11:24:10, 2025-04-29 11:24:27, -1,  -1, , ,   , -78,        0,        0,   0.  0.  0.  0,   0, , 
A0:D8:07:60:BC:96, 2025-04-29 11:24:13, 2025-04-29 11:24:22, 52, 540, WPA2 WPA, CCMP TKIP, PSK, -75,        1,        0,   0.  0.  0.  0,  15, WLAN1-5G-A1R7JB, 
28:87:BA:D4:F6:93, 2025-04-29 11:24:20, 2025-04-29 11:24:23,  1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
DC:39:6F:C3:58:4D, 2025-04-29 11:24:20, 2025-04-29 11:24:20,  1, 360, WPA2, CCMP, PSK, -23,        1,        1,   0.  0.  0.  0,  17, FRITZ!Box 7530 DP, 
24:94:94:13:E0:55, 2025-04-29 11:24:20, 2025-04-29 11:24:20,  1,  65, OPN, ,   , -21,        1,        0,   0.  0.  0.  0,  16, LEDnet00A313E055, 
A0:D8:07:60:BC:94, 2025-04-29 11:24:20, 2025-04-29 11:24:20,  3, 270, WPA2 WPA, CCMP TKIP, PSK, -46,        3,        0,   0.  0.  0.  0,  12, WLAN1-A1R7JB, 
3C:37:12:2E:34:30, 2025-04-29 11:24:20, 2025-04-29 11:24:20,  4,  -1, WPA, ,   , -34,        0,        2,   0.  0.  0.  0,   0, , 
02:16:78:68:9C:B8, 2025-04-29 11:24:20, 2025-04-29 11:24:21, 11, 130, WPA2 WPA, CCMP TKIP, PSK, -40,        5,        3,   0.  0.  0.  0,   9, Warleberg, 
74:42:7F:59:E9:2E, 2025-04-29 11:24:20, 2025-04-29 11:24:20,  6, 720, WPA2, CCMP, PSK, -54,        0,        0,   0.  0.  0.  0,  17, FRITZ!Box 7590 KC, 
74:42:7F:59:ED:B1, 2025-04-29 11:24:21, 2025-04-29 11:24:21, 11, 720, WPA2, CCMP, PSK, -29,        1,        5,   0.  0.  0.  0,   9, Warleberg, 
74:42:7F:59:ED:B0, 2025-04-29 11:24:21, 2025-04-29 11:24:21, 36, 1733, WPA2, CCMP, PSK, -38,        1,        0,   0.  0.  0.  0,  13, Warleberg5GHz, 
DC:15:C8:4A:5A:DA, 2025-04-29 11:24:21, 2025-04-29 11:24:21, 36, 1733, WPA2, CCMP, PSK, -74,        1,        0,   0.  0.  0.  0,  17, FRITZ!Box 7590 IO, 
DC:39:6F:C3:58:4E, 2025-04-29 11:24:22, 2025-04-29 11:24:22, 100, 780, WPA2, CCMP, PSK, -52,        1,        0,   0.  0.  0.  0,  17, FRITZ!Box 7530 DP, 
3C:37:12:2E:34:31, 2025-04-29 11:24:22, 2025-04-29 11:24:22, 116, 780, WPA2, CCMP, PSK, -59,        1,        0,   0.  0.  0.  0,  17, FRITZ!Box 7530 QV, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
E8:5C:5F:FB:28:BA, 2025-04-29 11:24:08, 2025-04-29 11:24:08, -69,        1, (not associated) ,
28:A0:6B:98:57:29, 2025-04-29 11:24:09, 2025-04-29 11:24:09, -59,        1, (not associated) ,
9C:32:CE:E1:CF:9E, 2025-04-29 11:24:10, 2025-04-29 11:24:27, -55,        7, (not associated) ,BJNPSETUP
3E:88:48:1B:D9:0C, 2025-04-29 11:24:13, 2025-04-29 11:24:13, -73,        1, A0:D8:07:60:BC:96,
10:C7:53:7C:0A:C6, 2025-04-29 11:24:20, 2025-04-29 11:24:23, -57,      257, 28:87:BA:D4:F6:93,
3C:CD:57:2D:48:5A, 2025-04-29 11:24:21, 2025-04-29 11:24:21, -26,        2, 02:16:78:68:9C:B8,
3C:CD:57:2D:48:58, 2025-04-29 11:24:21, 2025-04-29 11:24:21, -46,        2, 74:42:7F:59:ED:B1,
3C:CD:57:2D:45:B9, 2025-04-29 11:24:26, 2025-04-29 11:24:27, -52,       25, (not associated) ,Warleberg
74:40:BE:DC:6D:18, 2025-04-29 11:24:27, 2025-04-29 11:24:27, -57,       11, (not associated) ,gigacube_5G-3460

