
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
74:42:7F:59:ED:B1, 2025-04-29 21:48:30, 2025-04-29 21:49:22,  6, 720, WPA2, CCMP, PSK, -35,       11,       40,   0.  0.  0.  0,   9, Warleberg, 
02:16:78:68:9C:B8, 2025-04-29 21:48:30, 2025-04-29 21:49:22,  6, 130, WPA2 WPA, CCMP TKIP, PSK, -46,       57,       54,   0.  0.  0.  0,   9, Warleberg, 
DC:15:C8:4A:5A:DB, 2025-04-29 21:48:30, 2025-04-29 21:49:22,  6, 720, WPA2, CCMP, PSK, -71,       11,       30,   0.  0.  0.  0,  17, FRITZ!Box 7590 IO, 
DC:39:6F:C3:58:4D, 2025-04-29 21:48:30, 2025-04-29 21:49:19,  1, 360, WPA2, CCMP, PSK, -44,       11,        2,   0.  0.  0.  0,  17, FRITZ!Box 7530 DP, 
32:C3:D9:4B:38:18, 2025-04-29 21:48:30, 2025-04-29 21:49:19,  1,  65, WPA2, CCMP, PSK, -49,       13,        0,   0.  0.  0.  0,   4, WLAN, 
24:94:94:13:E0:55, 2025-04-29 21:48:31, 2025-04-29 21:49:22, 10,  65, OPN, ,   , -26,       34,        0,   0.  0.  0.  0,  16, LEDnet00A313E055, 
A0:D8:07:60:BC:94, 2025-04-29 21:48:31, 2025-04-29 21:49:21,  3, 270, WPA2 WPA, CCMP TKIP, PSK, -43,       20,        1,   0.  0.  0.  0,  12, WLAN1-A1R7JB, 
3C:37:12:2E:34:30, 2025-04-29 21:48:33, 2025-04-29 21:49:22, 11, 360, WPA2, CCMP, PSK, -29,        8,       10,   0.  0.  0.  0,  17, FRITZ!Box 7530 QV, 
FA:8F:CA:B1:B1:79, 2025-04-29 21:48:33, 2025-04-29 21:49:06,  6, 270, OPN, ,   , -52,        5,        0,   0.  0.  0.  0,  19, Familienzimmer.n069, 
74:42:7F:59:ED:B0, 2025-04-29 21:48:34, 2025-04-29 21:49:27, 36, 1733, WPA2, CCMP, PSK, -77,       34,       17,   0.  0.  0.  0,  13, Warleberg5GHz, 
DC:15:C8:4A:5A:DA, 2025-04-29 21:48:34, 2025-04-29 21:49:22, 36, 1733, WPA2, CCMP, PSK, -76,        5,        2,   0.  0.  0.  0,  17, FRITZ!Box 7590 IO, 
3C:37:12:2E:34:31, 2025-04-29 21:48:38, 2025-04-29 21:49:27, 100, 780, WPA2, CCMP, PSK, -56,       19,        2,   0.  0.  0.  0,  17, FRITZ!Box 7530 QV, 
DC:39:6F:C3:58:4E, 2025-04-29 21:48:40, 2025-04-29 21:49:29, 116, 780, WPA2, CCMP, PSK, -52,       20,        2,   0.  0.  0.  0,  17, FRITZ!Box 7530 DP, 
74:42:7F:59:E9:2E, 2025-04-29 21:49:02, 2025-04-29 21:49:02,  1, 720, WPA2, CCMP, PSK, -69,        1,        0,   0.  0.  0.  0,  17, FRITZ!Box 7590 KC, 
C4:6E:33:07:A4:FA, 2025-04-29 21:49:03, 2025-04-29 21:49:03, 13, 130, WPA2, CCMP TKIP, PSK, -52,        1,        0,   0.  0.  0.  0,  10, Ortel_A4FA, 
A0:D8:07:60:BC:96, 2025-04-29 21:49:08, 2025-04-29 21:49:25, 52,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
9C:32:CE:E1:CF:9E, 2025-04-29 21:49:19, 2025-04-29 21:49:19, -1,  -1, , ,   , -74,        0,        0,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
3C:CD:57:2D:48:58, 2025-04-29 21:48:30, 2025-04-29 21:49:22, -45,        8, 02:16:78:68:9C:B8,
3C:CD:57:2D:48:5A, 2025-04-29 21:48:30, 2025-04-29 21:49:22, -22,       11, 74:42:7F:59:ED:B1,
A2:6C:FE:AB:8A:C1, 2025-04-29 21:48:30, 2025-04-29 21:49:06, -72,       34, DC:15:C8:4A:5A:DB,
D8:FB:D6:C5:F7:2E, 2025-04-29 21:48:30, 2025-04-29 21:49:03, -35,       12, 02:16:78:68:9C:B8,
3C:CD:57:2D:45:B9, 2025-04-29 21:48:30, 2025-04-29 21:49:22, -52,        8, 74:42:7F:59:ED:B1,
9C:32:CE:E1:CF:9E, 2025-04-29 21:48:30, 2025-04-29 21:49:22, -53,        7, (not associated) ,BJNPSETUP
40:AA:56:13:21:C3, 2025-04-29 21:48:33, 2025-04-29 21:49:05, -55,        6, 3C:37:12:2E:34:30,
D2:6B:36:37:D1:70, 2025-04-29 21:48:35, 2025-04-29 21:48:35, -28,        1, (not associated) ,
02:93:B1:E4:7B:8C, 2025-04-29 21:48:44, 2025-04-29 21:48:44, -75,        2, (not associated) ,
FA:17:4F:F5:0F:A0, 2025-04-29 21:48:48, 2025-04-29 21:48:48, -39,        2, (not associated) ,
0A:C0:12:6F:17:C8, 2025-04-29 21:48:48, 2025-04-29 21:48:48, -45,       26, 74:42:7F:59:ED:B1,
96:F3:3F:06:D4:16, 2025-04-29 21:48:48, 2025-04-29 21:48:48, -45,        1, (not associated) ,
52:4F:E7:2B:BE:CD, 2025-04-29 21:48:51, 2025-04-29 21:48:51, -58,        2, (not associated) ,
3E:88:48:1B:D9:0C, 2025-04-29 21:49:08, 2025-04-29 21:49:25, -77,        6, A0:D8:07:60:BC:96,
8A:70:7A:FE:6F:3F, 2025-04-29 21:49:20, 2025-04-29 21:49:20, -55,        3, A0:D8:07:60:BC:94,
74:40:BE:DC:6D:18, 2025-04-29 21:49:21, 2025-04-29 21:49:21, -53,        5, (not associated) ,gigacube_5G-3460

