
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
3C:37:12:A0:0A:17, 2023-07-14 14:55:19, 2023-07-14 14:55:19,  1, 720, WPA2, CCMP, PSK, -45,        2,        2,   0.  0.  0.  0,  11, KingofKings, 
2C:91:AB:B4:28:A6, 2023-07-14 14:55:19, 2023-07-14 14:55:19,  1,  -1, WPA, ,   , -46,        0,        1,   0.  0.  0.  0,   0, , 
34:31:C4:11:8E:71, 2023-07-14 14:55:19, 2023-07-14 14:55:19,  1, 195, WPA2, CCMP, PSK, -47,        5,        1,   0.  0.  0.  0,  17, FRITZ!Box 7362 SL, 
F8:5E:42:2C:8E:B0, 2023-07-14 14:55:19, 2023-07-14 14:55:19,  1, 195, WPA2, CCMP, PSK, -48,        1,        0,   0.  0.  0.  0,  13, Vodafone-8EAC, 
2E:58:4F:7D:D9:99, 2023-07-14 14:55:19, 2023-07-14 14:55:19,  1, 195, OPN, ,   , -62,        0,        0,   0.  0.  0.  0,  16, Vodafone Hotspot, 
2E:5A:4C:24:AE:81, 2023-07-14 14:55:19, 2023-07-14 14:55:19,  1, 195, WPA2, CCMP, PSK, -61,        1,        0,   0.  0.  0.  0,   0, , 
44:4E:6D:14:6E:11, 2023-07-14 14:55:19, 2023-07-14 14:55:19,  1, 720, WPA2, CCMP, PSK, -61,        1,        0,   0.  0.  0.  0,  17, FRITZ!Box 7590 SA, 
8E:6A:8D:97:29:7A, 2023-07-14 14:55:18, 2023-07-14 14:55:18,  1, 260, OPN, ,   , -43,        0,        0,   0.  0.  0.  0,  17, Vodafone Homespot, 
E8:DF:70:4A:94:3A, 2023-07-14 14:55:18, 2023-07-14 14:55:18,  1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
DC:15:C8:97:42:39, 2023-07-14 14:55:18, 2023-07-14 14:55:19,  1, 360, WPA2, CCMP, PSK, -65,        5,        0,   0.  0.  0.  0,  21, FRITZ!Powerline 1260E, 
60:8D:26:63:21:21, 2023-07-14 14:55:18, 2023-07-14 14:55:19,  1, 720, WPA2, CCMP, PSK, -50,        1,        0,   0.  0.  0.  0,  11, WLAN-740899, 
DC:53:7C:0D:7B:1F, 2023-07-14 14:55:18, 2023-07-14 14:55:18,  1, 270, WPA2, CCMP TKIP, PSK, -52,        1,        0,   0.  0.  0.  0,  14, Netz_Reinhardt, 
